Name,Mean (ps),2*Stdev (ps),Allocated,Copied
"All.findFirstByte (wrapped).findFirstByte, wrapped",10201127925,674818314,0,0
"All.findFirstByte (wrapped).findFirstByte, naive",627856762200,61584059780,0,0
"All.findFirstByte (wrapped).findFirstByteIn, wrapped",3283728406,104185952,12944,123
"All.findFirstByte (wrapped).findFirstByteIn, naive",189787388400,5687529236,0,0
"All.findLastByte (wrapped).findLastByte, wrapped",10580476975,999522162,0,0
"All.findLastByte (wrapped).findLastByte, naive",905485401400,39482363186,0,0
"All.findLastByte (wrapped).findLastByteIn, wrapped",3595827862,352875452,0,0
"All.findLastByte (wrapped).findLastByteIn, naive",254729081000,6049494082,0,0
"All.countBytesEq (wrapped).countBytesEq, wrapped",16701129900,1648777244,0,0
"All.countBytesEq (wrapped).countBytesEq, naive",800912562400,23196239344,0,0
"All.countBytesEq (wrapped).countBytesEqIn, wrapped",5126419850,467493390,0,0
"All.countBytesEq (wrapped).countBytesEqIn, naive",251030525000,9276591860,0,0
"All.countBitsSet (wrapped).countBitsSet, wrapped",117142920,5257020,0,0
"All.countBitsSet (wrapped).countBitsSet, naive",6077016462,500600500,0,0
