Name,Mean (ps),2*Stdev (ps),Allocated,Copied
"All.findFirstByte (wrapped).findFirstByte, wrapped",10668731057,180853404,25359,121
"All.findFirstByte (wrapped).findFirstByte, naive",2796038665400,24194737612,0,0
"All.findFirstByte (wrapped).findFirstByteIn, wrapped",3428904449,57264376,25279,130
"All.findFirstByte (wrapped).findFirstByteIn, naive",1200187115800,6853626166,0,0
"All.findLastByte (wrapped).findLastByte, wrapped",11381566168,30181756,24320,131
"All.findLastByte (wrapped).findLastByte, naive",2779814844200,54030700414,0,0
"All.findLastByte (wrapped).findLastByteIn, wrapped",3710166347,31889464,25279,129
"All.findLastByte (wrapped).findLastByteIn, naive",849613835200,12064472892,0,0
"All.countBytesEq (wrapped).countBytesEq, wrapped",67911112,1192000,0,0
"All.countBytesEq (wrapped).countBytesEq, naive",12439388719,204685458,0,0
"All.countBytesEq (wrapped).countBytesEqIn, wrapped",21618452,376630,47,0
"All.countBytesEq (wrapped).countBytesEqIn, naive",4240080694,23609294,0,0
