Name,Mean (ps),2*Stdev (ps),Allocated,Copied
"All.findFirstByte (wrapped).findFirstByte, wrapped",111259649500,1397412792,0,0
"All.findFirstByte (wrapped).findFirstByte, naive",11825049186800,3605684656,0,0
"All.findFirstByte (wrapped).findFirstByteIn, wrapped",36078485650,681570066,0,0
"All.findFirstByte (wrapped).findFirstByteIn, naive",4277288079400,7386411398,0,0
"All.findLastByte (wrapped).findLastByte, wrapped",113284972700,1416698432,0,0
"All.findLastByte (wrapped).findLastByte, naive",11029490915800,3434996644,0,0
"All.findLastByte (wrapped).findLastByteIn, wrapped",36830580750,714823974,0,0
"All.findLastByte (wrapped).findLastByteIn, naive",3370002382200,13728055814,0,0
"All.countBytesEq (wrapped).countBytesEq, wrapped",669528009,10957976,0,0
"All.countBytesEq (wrapped).countBytesEq, naive",55914086450,689883318,0,0
"All.countBytesEq (wrapped).countBytesEqIn, wrapped",206467535,2780278,0,0
"All.countBytesEq (wrapped).countBytesEqIn, naive",17524690675,337510870,0,0
