Name,Mean (ps),2*Stdev (ps),Allocated,Copied
"All.findFirstByte (wrapped).findFirstByte, wrapped",10087090017,91061260,24344,123
"All.findFirstByte (wrapped).findFirstByte, naive",2598831263000,33091932242,0,0
"All.findFirstByte (wrapped).findFirstByteIn, wrapped",3375115845,47732238,24268,178
"All.findFirstByte (wrapped).findFirstByteIn, naive",871372977900,2786888440,0,0
"All.findLastByte (wrapped).findLastByte, wrapped",13819772181,124874418,12971,97
"All.findLastByte (wrapped).findLastByte, naive",1976889102200,8226093384,0,0
"All.findLastByte (wrapped).findLastByteIn, wrapped",4759572048,38743086,25279,129
"All.findLastByte (wrapped).findLastByteIn, naive",618297588600,4615753234,0,0
"All.countBytesEq (wrapped).countBytesEq, wrapped",17478446650,332286324,12995,107
"All.countBytesEq (wrapped).countBytesEq, naive",2417195632800,20410566430,0,0
"All.countBytesEq (wrapped).countBytesEqIn, wrapped",5033189618,83937714,12995,105
"All.countBytesEq (wrapped).countBytesEqIn, naive",817108286400,5807402606,0,0
